Annee,VoiriedelEtat,RoutesNationales  ,Autoroutes,CheminsRepris 
1954,2129,702,,1393
1962,2824,865,,1959
1970,2831,865,7,1959
1975,2849,867,23,1959
1980,2871,868,44,1959
1985,2885,868,58,1959
1986,2892,872,58,1962
1987,2904,884,58,1962
1988,2757,865,64,1828
1989,2769,866,75,1828
1990,2775,869,78,1828
1991,2775,869,78,1828
1992,2792,869,95,1828
1993,2797,869,100,1828
1994,2818,869,121,1828
1995,2820,869,123,1828
1996,2845,833,115,1896.5
1997,2855,830,118,1907
1998,2863,837,115,1911
1999,2863,837,115,1911
2000,2863,837,115,1911
2001,2863,837,115,1911
2002,2854,837,126,1891
2003,2875,837,147,1891
2004,2876,839,146,1891
2005,2894,837,147,1891
2006,2894,837,147,1891
2007,2894,837,147,1891
2008,2894,837,147,1891
2009,2899,837,152,1891
2010,2899,837,152,1891
2011,2899,837,152,1891
2012,2899,837,152,1891
2013,2899,837,152,1891
2014,2899,837,152,1891
2015,2908,837,161,1891
2016,2908,837,161,1891
2017,2912,837,165,1891
2018,2914,839,165,1891
